2_4_diacetylphloroglucinol,BGC0000281.1
capsular_polysaccharide_23,BGC0000750.1
capsular_polysaccharide_24,BGC0000751.1
capsular_polysaccharide_25,BGC0000752.1
capsular_polysaccharide_26,BGC0000753.1
capsular_polysaccharide_27,BGC0000754.1
capsular_polysaccharide_28,BGC0000755.1
capsular_polysaccharide_29,BGC0000756.1
capsular_polysaccharide_3,BGC0000730.1
capsular_polysaccharide_30,BGC0000757.1
capsular_polysaccharide_4,BGC0000731.1
capsular_polysaccharide_5,BGC0000732.1
capsular_polysaccharide_6,BGC0000733.1
capsular_polysaccharide_7,BGC0000734.1
capsular_polysaccharide_8,BGC0000735.1
capsular_polysaccharide_9,BGC0000736.1
carbamidocyclophane,BGC0001357.1
carbapenem_mm_4550,BGC0000842.1
carnocyclin,BGC0000487.1
carnolysin_a1_a2,BGC0000500.1
carotenoid,BGC0000646.1
carotenoid_10,BGC0000641.1
carotenoid_11,BGC0000642.1
carotenoid_12,BGC0000643.1
carotenoid_13,BGC0000644.1
carotenoid_14,BGC0000645.1
carotenoid_15,BGC0000648.1
carotenoid_16,BGC0000649.1
carotenoid_17,BGC0000650.1
carotenoid_2,BGC0000633.1
carotenoid_3,BGC0000634.1
carotenoid_4,BGC0000635.1
carotenoid_5,BGC0000636.1
carotenoid_6,BGC0000637.1
carotenoid_7,BGC0000638.1
carotenoid_8,BGC0000639.1
carotenoid_9,BGC0000640.1
caryoynencin,BGC0000892.1
catenulipeptin,BGC0000501.1
caulonodin,BGC0000573.1
caulosegnin,BGC0000574.1
celesticetin,BGC0001225.1
cellulose,AM181176
cepacian,BGC0000808.1
cephamycin,BGC0000319.1
cerecidin,BGC0000502.1
cereulide,BGC0000320.1
cervnimycin,BGC0001439.1
cetoniacytone,BGC0000283.1
chalcomycin,BGC0000035.1
chartreusin,BGC0000206.1
chartreusin_2,BGC0000207.1
chaxamycin,BGC0001287.1
chaxapeptin,BGC0001307.1
chelocardin,BGC0000208.1
chivosazol,BGC0001069.1
chloramphenicol,BGC0000893.1
chlorizidine_a,BGC0001172.1
chloroeremomycin,BGC0000322.1
chlorothricin,BGC0000036.1
chlorotonil,BGC0001299.1
chondramide,BGC0000969.1
chondrochloren,BGC0000970.1
chortetracycline,BGC0000209.1
chromomycin,BGC0000210.1
chrysomycin,BGC0000211.1
cichofactin,BGC0000323.1
cichopeptin,BGC0001389.1
cinerubin,BGC0000212.1
cinnabaramide,BGC0000971.1
cinnamycin,BGC0000503.1
cinnamycin_b,BGC0001364.1
circularin,BGC0000488.1
citrulline,BGC0000895.1
cladoniamide,BGC0001334.1
clarexpoxcin,BGC0001203.1
clavams,BGC0000843.1
clavulanic_acid,BGC0000845.1
clavulanic_acid_2,BGC0000844.1
clorobiocin,BGC0000832.1
clostridiolysin,BGC0000564.1
clostridiolysin_s,BGC0001170.1
coagulin,BGC0000617.1
coelibactin,BGC0000324.1
coelichelin,BGC0000325.1
colabomycin,BGC0000213.1
colanic_acid,BGC0000799.1
colibactin,BGC0000972.1
colicin_v,BGC0000584.1
colistin,BGC0001192.1
collismycin,BGC0000973.1
complestatin,BGC0000326.1
concanamycin_a,BGC0000040.1
congocidine,BGC0000327.1
corallopyronin,BGC0001091.1
coronatine,BGC0000328.1
corpeptin,BGC0000329.1
corynazolicin,BGC0001174.1
cosmomycin,BGC0000214.1
cosmomycin_d,BGC0001074.1
coumermycin,BGC0000833.1
cremeomycin,BGC0001295.1
cremimycin,BGC0000042.1
crocacin,BGC0000974.1
cryptophycin,BGC0000975.1
cupriachelin,BGC0000330.1
curacin,BGC0000976.1
curacin_2,BGC0001165.1
curacin_3,GL890975
curacin_a,BGC0000043.1
curamycin,BGC0000215.1
cyanopeptin,BGC0000331.1
cyclizidine,BGC0001293.1
cycloheximide,BGC0000175.1
cyclomarin,BGC0000333.1
cyclooctatin,BGC0000677.1
cyclothiazomycin,BGC0000603.1
cyclothiazomycin_B,BGC0001145.1
cyclothiazomycin_C,BGC0001146.1
cylindrocyclophane,BGC0001064.1
cylindrospermopsin,BGC0000978.1
cylindrospermopsin_2,BGC0000979.1
cylindrospermopsin_3,BGC0000980.1
cylindrospermopsin_4,BGC0000981.1
cypemycin,BGC0000582.1
cystargolide,BGC0001440.1
cystobactamide,BGC0001413.1
cystomanamides,BGC0000335.1
cystothiazole_a,BGC0000982.1
cytolysin,BGC0000504.1
d_cycloserine,BGC0000896.1
dactylocycline,BGC0000216.1
daptomycin,BGC0000336.1
daunorubicin,BGC0000217.1
dawenol,BGC0000044.1
dehydrophos,BGC0000897.1
delftibactin,BGC0000984.1
delta_cadinene,BGC0000674.1
desferrioxamine,BGC0000940.1
desferrioxamine_2,BGC0000941.1
desferrioxamine_b,BGC0000941.1
desosamine,BGC0000898.1
desosamine_2,BGC0000899.1
desotamide,BGC0001196.1
diaphorin,BGC0001092.1
diazepinomicin,BGC0000679.1
didemnin,BGC0000985.1
difficidin,BGC0000176.1
dihyrdochalcomycin,BGC0000047.1
disorazole,BGC0001093.1
distamycin,BGC0001147.1
diutan_polysaccharide,BGC0000759.1
divergolide,BGC0001119.1
dkxanthene,BGC0000986.1
doxorubicin,BGC0000218.1
dutomycin,BGC0001409.1
dynemicin,BGC0001060.1
E_492_E_975,BGC0000049.1
E_837,BGC0000050.1
ebelactone,BGC0000051.1
echinomycin,BGC0000339.1
echosides,BGC0000340.1
ECO_2301,BGC0000052.1
ectoine,BGC0000852.1
ectoine_2,BGC0000853.1
ectoine_3,BGC0000854.1
ectoine_4,BGC0000855.1
ectoine_5,BGC0000857.1
ectoine_6,BGC0000856.1
ectoine_7,BGC0000858.1
ectoine_8,BGC0000859.1
ectoine_9,BGC0000860.1
eicosapentaenoic_acid,BGC0000861.1
eicosapentaenoic_acid_2,BGC0000862.1
eicosapentaenoic_acid_3,BGC0000863.1
eicosapentaenoic_acid_4,BGC0000865.1
eicosapentaenoic_acid_like_compound,BGC0000864.1
elaiophylin,BGC0000053.1
elansolid,BGC0000178.1
elloramycin,BGC0000219.1
emulsan,BGC0000760.1
enacyloxin,BGC0001094.1
endophenazine,BGC0001080.1
endophenazines,BGC0000934.1
enduracidin,BGC0000341.1
enterobactin,BGC0000343.1
enterocin,BGC0000220.1
enterocin_AS_48,BGC0000489.1
enterocin_nkr_5_3b,BGC0001291.1
entianin,BGC0000506.1
entolysin,BGC0000344.1
epicidin,BGC0000507.1
epilancin,BGC0000509.1
epilancin_k7,BGC0000510.1
eponemycin,BGC0000345.1
epothilone,BGC0000988.1
epothilone_2,BGC0000989.1
epothilone_3,BGC0000990.1
epothilone_4,BGC0000991.1
epoxomicin,BGC0000346.1
equibactin,BGC0000347.1
erdacin,BGC0000221.1
erdasporine,BGC0001336.1
eremophilene,BGC0001201.1
ericin,BGC0000511.1
erythreapeptin,BGC0000513.1
erythrochelin,BGC0000349.1
erythromycin,BGC0000055.1
erythromycin_2,BGC0000054.1
esmeraldin,BGC0000935.1
etnangien,BGC0000179.1
exochelin,BGC0000351.1
exopolysaccharide,BGC0000761.1
exopolysaccharide_2,BGC0000762.1
exopolysaccharide_3,BGC0000764.1
exopolysaccharide_4,BGC0000765.1
exopolysaccharide_5,BGC0000766.1
exopolysaccharide_6,BGC0000767.1
FD_594,BGC0000222.1
FD_891,BGC0000058.1
feglymycin,BGC0001233.1
fengycin,BGC0001095.1
filipin,BGC0000059.1
fimsbactin,BGC0000352.1
FK228,BGC0000993.1
FK506,BGC0000353.1
FK520,BGC0000994.1
flavecins,BGC0001311.1
flaviolin,BGC0000902.1
flexirubin,BGC0000839.1
flexirubin_2,BGC0000838.1
fluorometabolite,BGC0000903.1
flustatin,BGC0000223.1
fortimicin,BGC0000695.1
fosfazinomycin,BGC0000937.1
fosfomycin,BGC0000938.1
fostriecin,BGC0000060.1
FR900098,BGC0000904.1
FR901464,BGC0000995.1
FR901464_2,BGC0001096.1
FR_008,BGC0000061.1
frankiamicin,BGC0001197.1
fredericamycin,BGC0000224.1
frenolicin,BGC0000225.1
friulimicin,BGC0000354.1
frontalamide,BGC0000996.1
furaquinocin_a,BGC0001078.1
fusaricidin,BGC0001152.1
fusaricidin_2,BGC0000358.1
fuscachelin,BGC0000359.1
galactoglucan,BGC0000801.1
galbonolides,BGC0000065.1
gallidermin,BGC0000514.1
gamma_butyrolactone,BGC0000849.1
gamma_butyrolactone_2,BGC0000850.1
garvicin_ml,BGC0000490.1
gassericin_a,BGC0000491.1
gassericin_e,BGC0001388.1
gassericin_t,BGC0000619.1
GE2270,BGC0000604.1
GE2270_2,BGC0001155.1
GE37468,BGC0000605.1
GE81112,BGC0000360.1
geldanamycin,BGC0000066.1
geldanamycin_2,BGC0000068.1
geldanamycin_3,BGC0000067.1
gellan_polysaccharide,BGC0000768.1
gentamicin,BGC0000696.1
gentamicin_2,BGC0000697.1
geobacillin,BGC0000515.1
geobacillin_ii,BGC0000516.1
geosmin,BGC0000661.1
gephyronic_acid,BGC0000069.1
gg_exopolysaccharide,BGC0000803.1
glidobactin,BGC0000997.1
glivocarcin,BGC0000226.1
glycocin_f,BGC0000484.1
glycopeptidolipid,BGC0000362.1
glycopeptidolipid_1,BGC0000363.1
glycopeptidolipid_2,BGC0000364.1
glycopeptidolipid_3,BGC0000365.1
glycopeptidolipid_4,BGC0000769.1
goadsporin,BGC0000565.1
gobichelin,BGC0000366.1
gramicidin,BGC0000367.1
granaticin,BGC0000227.1
granaticin_2,BGC0000228.1
grincamycin,BGC0000229.1
griselimycin,BGC0001414.1
grisemycin,BGC0000583.1
griseobactin,BGC0000368.1
griseorhondin,BGC0000230.1
griseoviridin,BGC0000459.1
griseusin,BGC0000231.1
grixazone,BGC0000662.1
guadinomine,BGC0000998.1
haliamide,BGC0001367.1
haloduracin,BGC0000517.1
halstoctacosanolide,BGC0000073.1
hassallidins,BGC0000369.1
hatomarubigin,BGC0000232.1
heat_stable_antifungal_factor,BGC0000999.1
hectochlorin,BGC0001000.1
hedamycin,BGC0000233.1
heme_d1,BGC0000905.1
heme_d1_2,BGC0000906.1
heptadecene,BGC0001161.1
herbimycin,BGC0000074.1
herboxidiene,BGC0001065.1
heronamide,BGC0001349.1
heterobactin,BGC0000371.1
heterocyst_glycolipids,BGC0000869.1
hexaricin,BGC0001376.1
himastatin,BGC0001117.1
hitachimycin,BGC0001194.1
holomycin,BGC0000373.1
hopene,BGC0000663.1
hormaomycin,BGC0000374.1
hydroxysporine,BGC0001223.1
hygrocin,BGC0000075.1
hygromycin_a,BGC0000698.1
hygromycin_b,BGC0000699.1
ikarugamycin,BGC0001435.1
incednine,BGC0000078.1
indanomycin,BGC0000079.1
indigoidine,BGC0000375.1
indolmycin,BGC0001206.1
informatipeptin,BGC0000518.1
isopropylstilbene,BGC0001180.1
isorenieratene,BGC0000664.1
isorenieratene_2,BGC0001227.1
istamycin,BGC0000700.1
iturin,BGC0001098.1
jadomycin,BGC0000234.1
jagaricin,BGC0001127.1
jawsamycin,BGC0001002.1
JBIR_100,BGC0001348.1
JBIR_34,BGC0000376.1
JBIR_76,BGC0001386.1
jerangolid,BGC0000080.1
jinggangmycin,BGC0000701.1
jmaicamide,BGC0001001.1
k_252a,BGC0000813.1
K_252a_2,BGC0000814.1
kalimantacin,BGC0001099.1
kanamycin,BGC0000702.1
kanamycin_2,BGC0000703.1
kanamycin_3,BGC0000704.1
kanamycin_4,BGC0000705.1
kanamycin_5,BGC0000706.1
kasugamycin,BGC0000707.1
kedarcidin,BGC0000081.1
kendomycin,BGC0001066.1
kiamycin,BGC0000235.1
kiamycin_2,BGC0000236.1
kijanimicin,BGC0000082.1
kirromycin,BGC0001070.1
koranimine,BGC0000377.1
kosinostatin,BGC0001073.1
KS_505a,BGC0000651.1
kutznerides,BGC0000378.1
labyrinthopeptin,BGC0000519.1
lactazole,BGC0000606.1
lacticin,BGC0000520.1
lacticin_2,BGC0000521.1
lacticin_q,BGC0000620.1
lacticin_z,BGC0000522.1
lactimidomycin,BGC0000083.1
lactocillin,BGC0000628.1
lactocin_s,BGC0000523.1
lactomycin,BGC0000238.1
lactomycin_z,BGC0000237.1
laidlomycin,BGC0000084.1
landepoxcin,BGC0001202.1
landomycin,BGC0000239.1
lankacidin,BGC0001100.1
lankamycin,BGC0000085.1
lariatin,BGC0000575.1
lasalocid,BGC0000086.1
laspartomycin,BGC0000379.1
lazarimide,BGC0001337.1
legioliulin,BGC0000180.1
legonaridin,BGC0001188.1
leinamycin,BGC0001101.1
leucanicidin,BGC0001232.1
leupyrrin,BGC0000380.1
lichenicidin_vk21_a1,BGC0000525.1
lichenysin,BGC0000381.1
lidamycin,BGC0001397.1
lincomycin,BGC0000907.1
lipomycin,BGC0001003.1
lipooligosaccharide,BGC0000770.1
lipooligosaccharide_2,BGC0000771.1
lipopeptide_8D11,BGC0001370.1
lipopolysaccharide,BGC0000772.1
lipopolysaccharide_2,BGC0000773.1
lipopolysaccharide_3,BGC0000775.1
lipopolysaccharide_4,BGC0000776.1
lipopolysaccharide_5,BGC0000777.1
lipopolysaccharide_6,BGC0000778.1
lipopolysaccharide_7,BGC0000779.1
lipopolysaccharide_oligosaccharide,BGC0000793.1
liposidomycin,BGC0001076.1
lipstatin,BGC0000382.1
listeriolysin_s,BGC0001171.1
lividomycinn,BGC0000708.1
livipeptin,BGC0001168.1
lobophorin,BGC0001004.1
lobophorin_2,BGC0001183.1
lobosamide,BGC0001303.1
locillomycin,BGC0001005.1
lomaiviticin,BGC0000240.1
lomofungin,BGC0001302.1
lorenic_acid_a,BGC0001200.1
lugdunin,BGC0001393.1
luminmide,BGC0001128.1
luminmycin,BGC0000383.1
lymphostin,BGC0001006.1
lymphostin_2,BGC0001007.1
lyngbyatoxin,BGC0000384.1
lysobactin,BGC0000385.1
lysolipin,BGC0000242.1
macedocin,BGC0000526.1
macrolactin,BGC0000181.1
macrolactin_2,BGC0001383.1
macrotetrolide,BGC0000243.1
macrotetrolide_2,BGC0000244.1
maduropeptin,BGC0001008.1
maklamicin,BGC0001288.1
malleilactone,BGC0001102.1
malleobactin,BGC0000386.1
mangotoxin,BGC0000387.1
mannopeptimycin,BGC0000388.1
marformycins,BGC0001214.1
marinacarboline,BGC0001137.1
marineosin,BGC0000091.1
marinophenazines,BGC0001221.1
marinopyrrole,BGC0001159.1
marinostatin,BGC0000591.1
massetolide,BGC0000389.1
matylstatins,BGC0001443.1
medermycin,BGC0000245.1
megacin,EU014074
megacin_2,BGC0000622.1
megalomicin,BGC0000092.1
meilingmycin,BGC0000093.1
melanin,BGC0000908.1
melanin_2,BGC0000909.1
melanin_3,BGC0000910.1
melanin_4,BGC0000911.1
melanin_5,BGC0000912.1
melithiazol,BGC0001010.1
melithiazol_2,BGC0001009.1
menaquinone,BGC0000913.1
mensacaricin,BGC0001177.1
meridamycin,BGC0001011.1
meridamycin_2,BGC0001012.1
meridamycin_3,BGC0001013.1
merochlorin,BGC0001083.1
mersacidin,BGC0000527.1
metatricycloene,BGC0001369.1
methylarcyriarubin,BGC0000817.1
methylenomycin,BGC0000914.1
methylpendolmycin,BGC0000391.1
micacocidin,BGC0001014.1
michiganin_a,BGC0000528.1
microbisporicin,BGC0000529.1
microcin_b17,BGC0000568.1
microcin_c7,BGC0000585.1
microcin_e492,BGC0000586.1
microcin_h47,BGC0000587.1
microcin_j25,BGC0000581.1
microcin_l,BGC0000588.1
microcin_m,BGC0000589.1
microcin_n,BGC0000590.1
micrococcin_p1,BGC0000607.1
microcylamide,BGC0000473.1
microcylamide_2,BGC0000474.1
microcystin,BGC0001016.1
microcystin_2,BGC0001017.1
microcystin_3,BGC0001015.1
micropeptin_k139,BGC0001018.1
microsclerodermins,BGC0001019.1
microsclerodermins_2,BGC0001231.1
microvidin_2,BGC0000593.1
microviridin,BGC0000592.1
microviridin_k,BGC0000594.1
midecamycin,BGC0000096.1
migrastatin,BGC0000177.1
mildiomycin,BGC0000882.1
mirubactin,BGC0000392.1
misakinolide,BGC0001186.1
mithramycin,BGC0000247.1
mithramycin_2,BGC0000246.1
mitomycin,BGC0000915.1
moenomycin,BGC0000805.1
molybdenum_cofactor,BGC0000916.1
molybdenum_cofactor_2,BGC0000917.1
monensin,BGC0000100.1
mupirocin,BGC0000182.1
muraymycin,BGC0001020.1
mutacin_b_ny266,BGC0000530.1
mutacin_i,BGC0000531.1
mutacin_ii,BGC0000532.1
mutacin_iii,BGC0000533.1
mutacin_k8,BGC0000534.1
mycinamicin,BGC0000102.1
mycobactin,BGC0001021.1
mycolactone,BGC0000103.1
mycolic_acid,BGC0000870.1
mycosubtilin,BGC0001103.1
myxalamid,BGC0001022.1
myxochelin,BGC0001345.1
myxochromide,BGC0001023.1
myxochromide_a,BGC0001422.1
myxochromide_a_2,BGC0001425.1
myxochromide_a_3,BGC0001426.1
myxochromide_a_4,BGC0001427.1
myxochromide_b,BGC0001421.1
myxochromide_c,BGC0001423.1
myxochromide_c_2,BGC0001424.1
myxochromide_d,BGC0001417.1
myxochromide_d_2,BGC0001418.1
myxochromide_d_3,BGC0001419.1
myxochromide_d_4,BGC0001420.1
myxochromide_d_5,BGC0001432.1
myxochromide_s,BGC0001429.1
myxochromide_s_2,BGC0001430.1
myxochromide_s_3,BGC0001431.1
myxoprincomide,BGC0000393.1
myxothiazol,BGC0001024.1
myxovirescin,BGC0001025.1
myxovirescin_2,BGC0001104.1
nanchangmycin,BGC0000105.1
nannocystin,BGC0001212.1
naphthyridinomycin,BGC0000394.1
napsamycin,BGC0000950.1
naptocyclinone,BGC0000248.1
napyradiomycin,BGC0001079.1
napyradiomycin_2,BGC0000652.1
naringenin,BGC0001310.1
natamycin,BGC0000108.1
nataxazole,BGC0001213.1
nemadectin,BGC0000109.1
neoaureothin,BGC0000110.1
neocarzilin,BGC0000111.1
neocarzinostatin,BGC0000112.1
neomycin,BGC0000709.1
neomycin_2,BGC0000710.1
neomycin_3,BGC0000711.1
niddamycin,BGC0000113.1
nikkomycin,BGC0000876.1
nisin,BGC0000535.1
nisin_q,BGC0000536.1
nisin_u,BGC0000537.1
nisin_z,BGC0000538.1
nocardicin,BGC0000395.1
nocardiopsin,BGC0001195.1
nocathiacin,BGC0000608.1
nocathiacin_2,BGC0000609.1
nocobactin_na,BGC0001027.1
nodularin,BGC0000396.1
nogalamycin,BGC0000250.1
nogalamycin_2,BGC0000249.1
nogalamycin_3,BGC0000251.1
nonactin,BGC0000252.1
nonadecene,BGC0001160.1
nosiheptide,BGC0000610.1
nosperin,BGC0001071.1
nostocyclopeptide,BGC0000397.1
nostopeptolide,BGC0001028.1
nostophycin,BGC0001029.1
novobiocin,BGC0000834.1
nucleocidin,BGC0001387.1
nukacin_isk1,BGC0000539.1
nunapeptin,BGC0001416.1
nystain_like_polyene,BGC0000116.1
nystatin,BGC0000115.1
o_and_k_antigen,BGC0000780.1
o_antigen,BGC0000781.1
o_antigen_10,BGC0000790.1
o_antigen_11,BGC0000791.1
o_antigen_2,BGC0000782.1
o_antigen_3,BGC0000783.1
o_antigen_4,BGC0000784.1
o_antigen_5,BGC0000785.1
o_antigen_6,BGC0000786.1
o_antigen_7,BGC0000787.1
o_antigen_8,BGC0000788.1
o_antigen_9,BGC0000789.1
o_methylkolavelool,BGC0001198.1
obafluorin,BGC0001437.1
ochronotic_pigment,BGC0000918.1
oligomycin,BGC0000117.1
onnamide,BGC0001105.1
oocydin_a,BGC0001031.1
oocydin_a_2,BGC0001032.1
orfamide,BGC0000398.1
orfamide_a,BGC0000399.1
oviedomycin,BGC0000253.1
oxazolomycin,BGC0001106.1
oxytetracycline,BGC0000254.1
pacidamycin,BGC0000951.1
pactamycin,BGC0000119.1
pactamycin_2,BGC0000118.1
paenibacillin,BGC0000540.1
paenibacterin,BGC0000400.1
paenibactin,BGC0000401.1
paenicidin_a,BGC0000541.1
paenicidin_b,BGC0000542.1
paenilamicin,BGC0001033.1
paeninodin,BGC0001356.1
paerucumarin,BGC0000923.1
pamamycin,BGC0001150.1
pantoea_anantis_carotenoid,NC_013956
paromomycin,BGC0000712.1
patellamide_a,BGC0000475.1
patellin_2_3,BGC0000477.1
pederin,BGC0001108.1
pederin_2,BGC0000255.1
pelgipeptin,BGC0000403.1
pellasoren,BGC0001034.1
penisin,BGC0001289.1
pentalenolactone,BGC0000653.1
pentalenolactone_2,BGC0000678.1
pep5,BGC0000543.1
petrobactin,BGC0000942.1
phaseolotoxin,BGC0000919.1
pheganomycin,BGC0001148.1
phenalamide,BGC0001394.1
phenalinolactone,BGC0000654.1
phenolic_lipids,BGC0000284.1
phormidolide,BGC0001350.1
phoslactomycin_b,BGC0000123.1
phosphonoglycans,BGC0000806.1
phosphonoglycans_2,BGC0000807.1
physostigmine,BGC0000820.1
piericidin_a1,BGC0001169.1
piericidin_a1_2,BGC0000124.1
pimaricin,BGC0000125.1
pinensins,BGC0001392.1
piricyclamide,BGC0001167.1
pladienolide,BGC0000126.1
planosporicin,BGC0000544.1
plantaricin_w,BGC0000623.1
plantazolicin,BGC0000569.1
plantazolicin_2,BGC0001173.1
platencin,BGC0001156.1
platensimycin,BGC0001140.1
plipastatin,BGC0000407.1
PM100117,BGC0001359.1
poaeamide,BGC0001208.1
poaeamide_b,BGC0001347.1
polyhydroxyalkanoate,BGC0000866.1
polyhydroxyalkanoate_2,BGC0000920.1
polyhydroxyalkanoic_acids,BGC0000867.1
polyketomycin,BGC0001061.1
polymyxin,BGC0001153.1
polymyxin_2,BGC0000408.1
polyoxin,BGC0000877.1
polyoxypeptin,BGC0001036.1
polysaccharide,BGC0000792.1
polysaccharide_a,BGC0001410.1
polysaccharide_b,BGC0001411.1
